player,national_team,league,club_team,position,status,datamb_template,page_url,screenshot_path,raw_text_path,metrics_json,manual_override
Alex Baena,Spain,LaLiga,Atletico Madrid,Midfielder,found,wingers,,data/datamb/Manual data screenshots/Alex Baena.png,,"{""Prog carries"": 75.3, ""Dribbles cmp"": 57.5, ""NPG"": 30.4, ""npxG +xA"": 53.0, ""Assists"": 76.7, ""Key passes"": 91.9, ""Crosses cmp"": 90.3, ""Minutes"": 1690}",True
Alexander Sorloth,Norway,LaLiga,Atletico Madrid,Forward,found,strikers,,data/datamb/Manual data screenshots/Alexander Sorloth.png,,"{""NPG"": 90.8, ""npxG"": 76.6, ""Goal conv%"": 78.4, ""Aerial%"": 96.1, ""Touches in box"": 69.1, ""xA"": 33.0, ""Off duels won"": 23.8, ""Minutes"": 2171}",True
Alexis Saelemaekers,Belgium,Serie A,AC Milan,Forward,found,fullbacks,,data/datamb/Manual data screenshots/Alexis Saelemaekers.png,,"{""Crosses cmp"": 83.0, ""xA"": 77.8, ""Prog passes"": 78.8, ""Poss won"": 35.7, ""Def duel%"": 16.5, ""Aerial duel%"": 20.2, ""Prog carries"": 78.3, ""Minutes"": 2976}",True
Christian Pulisic,United States,Serie A,AC Milan,Midfielder,found,wingers,,data/datamb/Manual data screenshots/Christian Pulisic.png,,"{""Prog carries"": 86.7, ""Dribbles cmp"": 58.7, ""NPG"": 94.5, ""npxG +xA"": 96.7, ""Assists"": 76.7, ""Key passes"": 77.0, ""Crosses cmp"": 58.0, ""Minutes"": 1745}",True
Dayot Upamenaco,France,Bundesliga,Bayern Munich,Defender,found,centrebacks,,data/datamb/Manual data screenshots/Dayot Upamenaco.png,,"{""Passes cmp"": 98.2, ""Fwd pass%"": 96.4, ""Prog passes"": 86.4, ""Poss won"": 11.1, ""Def duel%"": 90.9, ""Aerial duel%"": 63.6, ""Prog carries"": 58.9, ""Minutes"": 1987}",True
Elisha Owusu,Ghana,Ligue 1,Auxerre,Defender,found,midfielders,,data/datamb/Manual data screenshots/Elisha Owusu.png,,"{""Duel%"": 78.9, ""Poss won"": 69.4, ""Prog carries"": 9.2, ""Fwd passes"": 29.2, ""Fwd pass%"": 15.1, ""Key passes"": 0.2, ""Prog passes"": 21.8, ""Minutes"": 2545}",True
Esmir Bajraktarevic,Bosnia and Herzegovina,Eredivisie,PSV Eindhoven,Midfielder,found,wingers,,data/datamb/Manual data screenshots/Esmir Bajraktarevic.png,,"{""Prog carries"": 75.1, ""Dribbles cmp"": 62.0, ""NPG"": 83.6, ""npxG +xA"": 64.6, ""Assists"": 94.5, ""Key passes"": 94.8, ""Crosses cmp"": 89.3, ""Minutes"": 1173}",True
Ferdi Kadioglu,,Premier League,Brighton,Defender,found,fullbacks,,data/datamb/Manual data screenshots/Ferdi Kadioglu.png,,"{""Crosses cmp"": 63.3, ""xA"": 46.6, ""Prog passes"": 42.1, ""Poss won"": 36.9, ""Def duel%"": 77.6, ""Aerial duel%"": 53.1, ""Prog carries"": 81.0, ""Minutes"": 3485}",True
Hwang Hee-chan,South Korea,Premier League,Wolves,Midfielder,found,strikers,,data/datamb/Manual data screenshots/Hwang Hee-chan.png,,"{""NPG"": 3.9, ""npxG"": 1.1, ""Goal conv%"": 24.8, ""Aerial%"": 1.8, ""Touches in box"": 1.1, ""xA"": 50.7, ""Off duels won"": 40.4, ""Minutes"": 1580}",True
Jamie Leweling,Germany,Bundesliga,Stuttgart,Midfielder,found,wingers,,data/datamb/Manual data screenshots/Jamie Leweling.png,,"{""Prog carries"": 62.5, ""Dribbles cmp"": 89.8, ""NPG"": 72.4, ""npxG +xA"": 64.6, ""Assists"": 96.7, ""Key passes"": 85.3, ""Crosses cmp"": 96.0, ""Minutes"": 2567}",True
Joshua Kimmich,Germany,Bundesliga,Bayern Munich,Defender,found,midfielders,,data/datamb/Manual data screenshots/Joshua Kimmich.png,,"{""Duel%"": 60.2, ""Poss won"": 32.0, ""Prog carries"": 78.7, ""Fwd passes"": 99.5, ""Fwd pass%"": 93.7, ""Key passes"": 95.4, ""Prog passes"": 99.3, ""Minutes"": 2533}",True
