world_cup_team,player,position,position_group,club,league,reason_missing
Algeria,Achraf Abada,Defender,Defender,USM Alger,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Mohamed Amine Tougai,Defender,Defender,Esperance,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Zinedine Belaid,Defender,Defender,JS Kabylie,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Adil Boulbina,Forward,Forward,Al Duhail,Qatar Stars League,No reliable FBref match in currently supported/pulled leagues
Algeria,Anis Hadj Moussa,Forward,Forward,Feyenoord,Eredivisie / Dutch football league system,No reliable FBref match in currently supported/pulled leagues
Algeria,Mohamed Amine Amoura,Forward,Forward,VfL Wolfsburg,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Nadir Benbouali,Forward,Forward,Győri ETO,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Riyad Mahrez,Forward,Forward,Al Ahli,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Algeria,Luca Zidane,Goalkeeper,Goalkeeper,Granada,Spanish football league system,No reliable FBref match in currently supported/pulled leagues
Algeria,Melvin Masstil,Goalkeeper,Goalkeeper,Stade Nyonnaise,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Oussama Benbot,Goalkeeper,Goalkeeper,USM Alger,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Ramiz Zerrouki,Midfielder,Midfielder,FC Twente,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Yassine Titraoui,Midfielder,Midfielder,Charleroi,Belgian Pro League,No reliable FBref match in currently supported/pulled leagues
Argentina,Nicolás Otamendi,Defender,Defender,Benfica,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
Argentina,Jose Manuel López,Forward,Forward,Palmeiras,Brazilian football league system,No reliable FBref match in currently supported/pulled leagues
Argentina,Lionel Messi,Forward,Forward,Inter Miami,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Argentina,Nico Paz,Forward,Forward,Como,Serie A,No reliable FBref match in currently supported/pulled leagues
Australia,Aziz Behich,Defender,Defender,Melbourne City,Australian A-League Men,No reliable FBref match in currently supported/pulled leagues
Australia,Harry Souttar,Defender,Defender,Leicester City,English football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Jacob Italiano,Defender,Defender,Grazer AK,Austrian Bundesliga,No reliable FBref match in currently supported/pulled leagues
Australia,Jason Geria,Defender,Defender,Albirex Niigata,J1 League / Japanese football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Jordan Bos,Defender,Defender,Feyenoord Rotterdam,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Australia,Kai Trewin,Defender,Defender,New York City FC,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Australia,Lucas Herrington,Defender,Defender,Colorado Rapids,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Australia,Milos Degenek,Defender,Defender,Apoel Nicosia,Cypriot First Division,No reliable FBref match in currently supported/pulled leagues
Australia,Ajdin Hrustic,Forward,Forward,Heracles Almelo,Eredivisie / Dutch football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Awer Mabil,Forward,Forward,Castellón,Spanish football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Mathew Leckie,Forward,Forward,Melbourne City,Australian A-League Men,No reliable FBref match in currently supported/pulled leagues
Australia,Mohamed Toure,Forward,Forward,Norwich City,English football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Nestory Irankunda,Forward,Forward,Watford,English football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Nishan Velupillay,Forward,Forward,Melbourne Victory,Australian A-League Men,No reliable FBref match in currently supported/pulled leagues
Australia,Tete Yengi,Forward,Forward,Machida Zelvia,J1 League / Japanese football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Patrick Beach,Goalkeeper,Goalkeeper,Melbourne City,Australian A-League Men,No reliable FBref match in currently supported/pulled leagues
Australia,Paul Izzo,Goalkeeper,Goalkeeper,Randers FC,Danish Superliga,No reliable FBref match in currently supported/pulled leagues
Australia,Aiden O'Neill,Midfielder,Midfielder,New York City FC,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Australia,Cameron Devlin,Midfielder,Midfielder,Heart of Midlothian,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Australia,Paul Okon Jr,Midfielder,Midfielder,Sydney FC,Australian A-League Men,No reliable FBref match in currently supported/pulled leagues
Austria,Philipp Mwene,Defender,Defender,Mainz 05,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Austria,Alexander Schlager,Goalkeeper,Goalkeeper,RB Salzburg,Austrian Bundesliga,No reliable FBref match in currently supported/pulled leagues
Austria,Florian Wiegele,Goalkeeper,Goalkeeper,Viktoria Plzen,Czech First League,No reliable FBref match in currently supported/pulled leagues
Austria,Patrick Pentz,Goalkeeper,Goalkeeper,Brondby,Danish Superliga,No reliable FBref match in currently supported/pulled leagues
Austria,Alessandro Schopf,Midfielder,Midfielder,Wolfsberger AC,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Belgium,Brandon Mechele,Defender,Defender,Club Brugge,Belgian Pro League,No reliable FBref match in currently supported/pulled leagues
Belgium,Joaquin Seys,Defender,Defender,Club Brugge,Belgian Pro League,No reliable FBref match in currently supported/pulled leagues
Belgium,Zeno Debast,Defender,Defender,Sporting CP,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
Belgium,Hans Vanaken,Midfielder,Midfielder,Club Brugge,Belgian Pro League,No reliable FBref match in currently supported/pulled leagues
Belgium,Nicolas Raskin,Midfielder,Midfielder,Rangers,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Dennis Hadzikadunic,Defender,Defender,Sampdoria,Italian football league system,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Nihad Mujakic,Defender,Defender,Gaziantep,Turkish Süper Lig,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Nikola Katic,Defender,Defender,Schalke 04,Bundesliga,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Stjepan Radeljic,Defender,Defender,Rijeka,Croatian Football League,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Jovo Lukic,Forward,Forward,Universitatea Cluj,Romanian Liga I,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Samed Bazdar,Forward,Forward,Jagiellonia Bialystok,Polish Ekstraklasa,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Martin Zlomislic,Goalkeeper,Goalkeeper,Rijeka,Croatian Football League,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Osman Hadzikic,Goalkeeper,Goalkeeper,Slaven Belupo,Croatian Football League,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Amar Memic,Midfielder,Midfielder,Viktoria Plzen,Czech First League,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Amir Hadziahmetovic,Midfielder,Midfielder,Hull City,English football league system,No reliable FBref match in currently supported/pulled leagues
