world_cup_team,player,position_group,statsbomb_shots,shot_points
Algeria,Aissa Mandi,Defender,3,3
Algeria,Fares Chaibi,Midfielder,3,3
Algeria,Houssem Aouar,Midfielder,1,1
Algeria,Nabil Bentaleb,Midfielder,1,1
Algeria,Rayan Ait-Nouri,Defender,3,3
Algeria,Riyad Mahrez,Forward,1,1
Argentina,Alexis Mac Allister,Midfielder,14,14
Argentina,Enzo Fernandez,Midfielder,15,15
Argentina,Giovani lo Celso,Midfielder,3,3
Argentina,Julian Alvarez,Forward,21,21
Argentina,Lionel Messi,Forward,66,66
Argentina,Lisandro Martinez,Defender,6,6
Australia,Ajdin Hrustic,Midfielder,1,1
Australia,Harry Souttar,Defender,1,1
Australia,Jackson Irvine,Midfielder,3,3
Australia,Mathew Leckie,Forward,10,10
Austria,Alessandro Schopf,Midfielder,1,1
Austria,Christoph Baumgartner,Midfielder,11,11
Austria,Florian Grillitsch,Midfielder,6,6
Austria,Kevin Danso,Defender,1,1
Austria,Konrad Laimer,Midfielder,4,4
Austria,Marcel Sabitzer,Midfielder,23,23
Austria,Marko Arnautovic,Forward,12,12
Austria,Michael Gregoritsch,Forward,7,7
Austria,Nicolas Seiwald,Midfielder,1,1
Austria,Patrick Wimmer,Midfielder,3,3
Austria,Philipp Lienhart,Defender,2,2
Austria,Romano Schmid,Midfielder,1,1
Austria,Sasa Kalajdzic,Forward,6,6
Austria,Stefan Posch,Defender,7,7
Austria,Xaver Schlager,Midfielder,5,5
Belgium,Amadou Onana,Midfielder,5,5
Belgium,Arthur Theate,Defender,2,2
Belgium,Axel Witsel,Midfielder,9,9
Belgium,Dodi Lukebakio,Forward,3,3
Belgium,Jeremy Doku,Forward,8,8
Belgium,Kevin de Bruyne,Midfielder,35,35
Belgium,Leandro Trossard,Forward,5,5
Belgium,Thomas Meunier,Defender,13,13
Belgium,Youri Tielemans,Midfielder,10,10
Brazil,Neymar,Forward,39,39
Canada,Ali Ahmed,Midfielder,1,1
Canada,Alistair Johnston,Defender,3,3
Canada,Alphonso Davies,Defender,12,12
Canada,Cyle Larin,Forward,10,10
Canada,Derek Cornelius,Defender,1,1
Canada,Ismael Kone,Midfielder,7,7
Canada,Jacob Shaffelburg,Midfielder,5,5
Canada,Jonathan David,Forward,18,18
Canada,Jonathan Osorio,Midfielder,3,3
Canada,Liam Millar,Midfielder,6,6
Canada,Mathieu Choiniere,Midfielder,1,1
Canada,Moise Bombito,Defender,5,5
Canada,Richie Laryea,Defender,6,6
Canada,Tajon Buchanan,Midfielder,7,7
Croatia,Andrej Kramaric,Forward,30,30
Croatia,Ante Budimir,Forward,7,7
Croatia,Ivan Perisic,Forward,51,51
Croatia,Josip Stanisic,Defender,2,2
Croatia,Josip Sutalo,Defender,1,1
Croatia,Josko Gvardiol,Defender,7,7
Croatia,Luka Modric,Midfielder,27,27
Croatia,Luka Sucic,Midfielder,3,3
Croatia,Mario Pasalic,Midfielder,9,9
Croatia,Martin Baturina,Midfielder,1,1
Croatia,Mateo Kovacic,Midfielder,18,18
Croatia,Nikola Vlasic,Midfielder,10,10
Czechia,Adam Hlozek,Forward,5,5
Czechia,David Jurasek,Defender,4,4
Czechia,Ladislav Krejci,Defender,5,5
Czechia,Lukas Provod,Midfielder,3,3
Czechia,Mojmir Chytil,Forward,2,2
Czechia,Patrik Schick,Forward,23,23
Czechia,Pavel Sulc,Midfielder,1,1
Czechia,Robin Hranac,Defender,2,2
Czechia,Tomas Chory,Forward,1,1
Czechia,Tomas Holes,Defender,7,7
Czechia,Tomas Soucek,Midfielder,13,13
Czechia,Vladimir Coufal,Defender,3,3
Czechia,Vladimir Darida,Midfielder,2,2
DR Congo,Aaron Tshibola,Midfielder,1,1
DR Congo,Arthur Masuaku,Defender,7,7
DR Congo,Cedric Bakambu,Forward,10,10
DR Congo,Charles Pickel,Midfielder,3,3
DR Congo,Gael Kakuta,Midfielder,8,8
DR Congo,Samuel Moutoussamy,Midfielder,9,9
DR Congo,Yoane Wissa,Forward,21,21
Egypt,Mohamed Abdelmonem,Defender,6,6
Egypt,Mohamed Salah,Forward,10,10
Egypt,Omar Marmoush,Forward,9,9
England,Bukayo Saka,Forward,17,17
England,Declan Rice,Midfielder,10,10
England,Eberechi Eze,Midfielder,2,2
England,Harry Kane,Forward,62,62
England,Ivan Toney,Forward,2,2
England,John Stones,Defender,16,16
England,Jude Bellingham,Midfielder,12,12
England,Kobbie Mainoo,Midfielder,5,5
England,Marc Guehi,Defender,2,2
England,Marcus Rashford,Forward,18,18
